Class: book, Confidence: 0.25, BBox: (539, 235, 617, 253)
Class: chair, Confidence: 0.25, BBox: (341, 263, 548, 479)
Class: person, Confidence: 0.92, BBox: (31, 172, 531, 479)
Class: person, Confidence: 0.92, BBox: (26, 173, 528, 479)
Class: chair, Confidence: 0.38, BBox: (333, 262, 551, 479)
Class: person, Confidence: 0.91, BBox: (28, 172, 529, 479)
Class: chair, Confidence: 0.33, BBox: (336, 263, 550, 479)
Class: person, Confidence: 0.92, BBox: (27, 172, 531, 479)
Class: chair, Confidence: 0.36, BBox: (339, 262, 554, 479)
Class: person, Confidence: 0.92, BBox: (33, 173, 527, 479)
Class: person, Confidence: 0.93, BBox: (28, 172, 529, 479)
Class: chair, Confidence: 0.31, BBox: (334, 263, 552, 479)
Class: person, Confidence: 0.91, BBox: (31, 172, 524, 479)
Class: book, Confidence: 0.25, BBox: (541, 236, 616, 253)
Class: person, Confidence: 0.92, BBox: (34, 173, 524, 479)
Class: bottle, Confidence: 0.26, BBox: (20, 439, 49, 479)
Class: person, Confidence: 0.92, BBox: (28, 173, 529, 479)
Class: chair, Confidence: 0.27, BBox: (337, 262, 550, 479)
Class: book, Confidence: 0.27, BBox: (540, 234, 618, 252)
Class: person, Confidence: 0.93, BBox: (33, 173, 527, 479)
Class: chair, Confidence: 0.37, BBox: (337, 263, 550, 479)
Class: book, Confidence: 0.28, BBox: (539, 235, 617, 252)
Class: person, Confidence: 0.93, BBox: (30, 174, 534, 479)
Class: person, Confidence: 0.92, BBox: (33, 173, 530, 479)
Class: person, Confidence: 0.91, BBox: (33, 174, 527, 479)
Class: person, Confidence: 0.92, BBox: (28, 173, 531, 479)
Class: chair, Confidence: 0.25, BBox: (339, 262, 547, 479)
Class: person, Confidence: 0.92, BBox: (31, 174, 528, 479)
Class: chair, Confidence: 0.36, BBox: (334, 262, 547, 479)
Class: book, Confidence: 0.26, BBox: (538, 236, 617, 251)
Class: person, Confidence: 0.93, BBox: (32, 174, 528, 479)
Class: chair, Confidence: 0.33, BBox: (335, 262, 550, 479)
Class: person, Confidence: 0.92, BBox: (33, 173, 524, 479)
Class: person, Confidence: 0.92, BBox: (28, 174, 524, 479)
Class: chair, Confidence: 0.32, BBox: (337, 262, 551, 479)
Class: book, Confidence: 0.25, BBox: (540, 235, 617, 251)
Class: person, Confidence: 0.92, BBox: (22, 173, 523, 479)
Class: chair, Confidence: 0.34, BBox: (336, 262, 548, 479)
Class: book, Confidence: 0.28, BBox: (539, 234, 618, 252)
Class: person, Confidence: 0.92, BBox: (29, 174, 528, 479)
Class: person, Confidence: 0.92, BBox: (32, 173, 524, 479)
Class: chair, Confidence: 0.46, BBox: (335, 263, 554, 479)
